[2024-09-16 16:23:26:657][background-preinit] INFO  o.h.validator.internal.util.Version[21] - HV000001: Hibernate Validator 8.0.1.Final
[2024-09-16 16:23:26:693][main] INFO  inha.git.GitApplication[50] - Starting GitApplication using Java 17.0.8 with PID 44667 (/Users/hwang-gyuhyeog/Desktop/git/out/production/classes started by hwang-gyuhyeog in /Users/hwang-gyuhyeog/Desktop/git)
[2024-09-16 16:23:26:694][main] INFO  inha.git.GitApplication[660] - The following 1 profile is active: "local"
[2024-09-16 16:23:27:1402][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate[295] - Multiple Spring Data modules found, entering strict repository configuration mode
[2024-09-16 16:23:27:1403][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate[143] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2024-09-16 16:23:27:1418][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate[211] - Finished Spring Data repository scanning in 3 ms. Found 0 Redis repository interfaces.
[2024-09-16 16:23:27:1737][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate[295] - Multiple Spring Data modules found, entering strict repository configuration mode
[2024-09-16 16:23:27:1738][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate[143] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2024-09-16 16:23:28:1959][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate[211] - Finished Spring Data repository scanning in 218 ms. Found 52 JPA repository interfaces.
[2024-09-16 16:23:28:1966][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate[295] - Multiple Spring Data modules found, entering strict repository configuration mode
[2024-09-16 16:23:28:1966][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate[143] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2024-09-16 16:23:28:1985][main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport[320] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface inha.git.banner.domain.repository.BannerJpaRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
[2024-09-16 16:23:28:1985][main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport[320] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface inha.git.college.domain.repository.CollegeJpaRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
[2024-09-16 16:23:28:1986][main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport[320] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface inha.git.department.domain.repository.DepartmentJpaRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
[2024-09-16 16:23:28:1986][main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport[320] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface inha.git.field.domain.repository.FieldJpaRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
[2024-09-16 16:23:28:1986][main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport[320] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface inha.git.link.domain.repository.LinkJpaRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
[2024-09-16 16:23:28:1986][main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport[320] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface inha.git.mapping.domain.repository.FoundingRecommendJpaRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
[2024-09-16 16:23:28:1986][main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport[320] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface inha.git.mapping.domain.repository.ProjectCommentLikeJpaRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
